file_name,beats,downbeats
Media-104416.wav,"[ 0.45   0.749  1.041  1.328  1.616  1.911  2.212  2.513  2.806  3.09
  3.373  3.659  3.947  4.232  4.518  4.804  5.094  5.386  5.677  5.966
  6.254  6.542  6.831  7.12   7.41   7.698  7.985  8.271  8.559  8.847
  9.141  9.439  9.741 10.043 10.347 10.646 10.935 11.212 11.485 11.768
 12.059 12.357 12.65  12.936 13.218 13.501 13.788 14.075 14.361 14.645
 14.928 15.209 15.497 15.79  16.091 16.389 16.683 16.969 17.251 17.532
 17.823 18.12  18.42  18.711 18.999 19.281 19.565 19.85  20.138 20.425
 20.71  20.992 21.278 21.568 21.863 22.153 22.438 22.715 22.995 23.275
 23.559 23.844 24.138 24.432 24.726 25.01  25.294 25.579 25.869 26.16
 26.452 26.746 27.037 27.333 27.633 27.934 28.23  28.524 28.817 29.111
 29.405 29.695 29.86 ]","[ 0.45   1.616  2.806  3.947  5.094  6.254  7.41   8.559  9.741 10.935
 12.059 13.218 14.361 15.497 16.683 17.823 18.999 20.138 21.278 22.438
 23.559 24.726 25.869 27.037 28.23  29.405]"
Albums-Latino_Latino-01.wav,"[ 2.82  3.33  3.8   4.26  4.76  5.23  5.7   6.19  6.66  7.15  7.62  8.1
  8.57  9.05  9.53 10.   10.48 10.96 11.44 11.91 12.39 12.87 13.35 13.82
 14.3  14.78 15.25 15.73 16.21 16.68 17.16 17.62 18.12 18.6  19.07 19.55
 20.03 20.51 20.98 21.46 21.93 22.42 22.89 23.37 23.84 24.32 24.8  25.28
 25.76 26.23 26.71 27.18 27.66 28.14 28.62 29.1  29.57]","[ 2.82  4.76  6.66  8.57 10.48 12.39 14.3  16.21 18.12 20.03 21.93 23.84
 25.76 27.66 29.57]"
Albums-Ballroom_Classics4-18.wav,"[ 0.57179138  0.88526077  1.17260771  1.46866213  1.76        2.05696145
  2.35201814  2.65396825  2.95800454  3.25895692  3.55600907  3.85895692
  4.16997732  4.47301587  4.77396825  5.07800453  5.38303855  5.68399093
  5.98104308  6.28        6.58303855  6.88798186  7.18902494  7.48598639
  7.78902494  8.08997732  8.38303855  8.67800453  8.97297052  9.26802721
  9.56598639  9.87201814 10.17396825 10.46802721 10.76598639 11.06902494
 11.37297052 11.67800453 11.98303855 12.28798186 12.58902494 12.88997732
 13.19002267 13.48997732 13.78303855 14.07800453 14.37895692 14.68
 14.98004535 15.28       15.58303855 15.88099773 16.17396825 16.46503401
 16.76199546 17.06403628 17.35501134 17.65197279 17.96399093 18.27800454
 18.58603175 18.88498866 19.18204082 19.48099773 19.77696145 20.07600907
 20.37895692 20.68       20.98004535 21.28       21.57696145 21.87201814
 22.17396825 22.47800454 22.78303855 23.08798186 23.38902494 23.68598639
 23.98204082 24.28099773 24.58004535 24.88       25.18004535 25.48
 25.78004535 26.08       26.38004535 26.6829932  26.98802721 27.29505669
 27.59909297 27.901678   28.20498866 28.51337868 28.81015873 29.11492063
 29.41968254 29.70848073 30.00598639]","[ 0.57179138  1.76        2.95800454  4.16997732  5.38303855  6.58303855
  7.78902494  8.97297052 10.17396825 11.37297052 12.58902494 13.78303855
 14.98004535 16.17396825 17.35501134 18.58603175 19.77696145 20.98004535
 22.17396825 23.38902494 24.58004535 25.78004535 26.98802721 28.20498866
 29.41968254]"
Media-105506.wav,"[2.0000e-02 4.9700e-01 9.6000e-01 1.4400e+00 1.9070e+00 2.3800e+00
 2.8530e+00 3.3230e+00 3.7870e+00 4.2470e+00 4.7070e+00 5.1770e+00
 5.6430e+00 6.1030e+00 6.5400e+00 7.0030e+00 7.4730e+00 7.9700e+00
 8.4430e+00 8.9230e+00 9.3900e+00 9.8500e+00 1.0320e+01 1.0790e+01
 1.1263e+01 1.1740e+01 1.2217e+01 1.2697e+01 1.3170e+01 1.3643e+01
 1.4110e+01 1.4570e+01 1.5027e+01 1.5493e+01 1.5960e+01 1.6440e+01
 1.6910e+01 1.7380e+01 1.7840e+01 1.8303e+01 1.8763e+01 1.9230e+01
 1.9707e+01 2.0177e+01 2.0650e+01 2.1120e+01 2.1603e+01 2.2070e+01
 2.2527e+01 2.2977e+01 2.3453e+01 2.3927e+01 2.4397e+01 2.4860e+01
 2.5333e+01 2.5817e+01 2.6287e+01 2.6757e+01 2.7217e+01 2.7683e+01
 2.8127e+01 2.8577e+01 2.9037e+01 2.9520e+01]","[2.0000e-02 1.9070e+00 3.7870e+00 5.6430e+00 7.4730e+00 9.3900e+00
 1.1263e+01 1.3170e+01 1.5027e+01 1.6910e+01 1.8763e+01 2.0650e+01
 2.2527e+01 2.4397e+01 2.6287e+01 2.8127e+01]"
Albums-StrictlyDancing_Tango-13.wav,"[ 0.17  0.7   1.17  1.64  2.2   2.7   3.2   3.71  4.21  4.69  5.18  5.67
  6.18  6.67  7.17  7.66  8.16  8.64  9.15  9.64 10.15 10.63 11.13 11.62
 12.1  12.58 13.08 13.58 14.07 14.56 15.04 15.52 16.02 16.5  16.99 17.48
 17.97 18.47 18.97 19.46 19.95 20.43 20.92 21.4  21.9  22.38 22.87 23.37
 23.85 24.33 24.83 25.31 25.81 26.3  26.79 27.27 27.76 28.22 28.71 29.21
 29.7 ]","[ 0.17  2.2   4.21  6.18  8.16 10.15 12.1  14.07 16.02 17.97 19.95 21.9
 23.85 25.81 27.76 29.7 ]"
Media-104211.wav,"[ 0.39   0.73   1.07   1.393  1.73   2.067  2.413  2.76   3.1    3.427
  3.75   4.087  4.433  4.78   5.12   5.453  5.787  6.127  6.47   6.813
  7.153  7.497  7.837  8.173  8.517  8.85   9.19   9.52   9.863 10.203
 10.553 10.913 11.253 11.587 11.927 12.267 12.61  12.947 13.283 13.623
 13.963 14.303 14.637 14.95  15.287 15.63  15.99  16.33  16.673 17.017
 17.357 17.69  18.013 18.353 18.703 19.057 19.397 19.72  20.053 20.39
 20.73  21.077 21.417 21.76  22.103 22.443 22.783 23.12  23.457 23.793
 24.127 24.467 24.807 25.153 25.49  25.83  26.167 26.51  26.85  27.19
 27.527 27.867 28.193 28.537 28.863 29.187 29.52  29.88 ]","[ 0.39   1.393  2.413  3.427  4.433  5.453  6.47   7.497  8.517  9.52
 10.553 11.587 12.61  13.623 14.637 15.63  16.673 17.69  18.703 19.72
 20.73  21.76  22.783 23.793 24.807 25.83  26.85  27.867 28.863 29.88 ]"
Media-106107.wav,"[ 0.717  1.305  1.905  2.509  3.109  3.709  4.309  4.909  5.509  6.111
  6.716  7.316  7.913  8.516  9.119  9.716 10.311 10.911 11.514 12.113
 12.716 13.319 13.919 14.519 15.119 15.721 16.324 16.921 17.521 18.126
 18.729 19.329 19.931 20.534 21.131 21.731 22.334 22.931 23.531 24.136
 24.736 25.333 25.934 26.533 27.134 27.733 28.336 28.939 29.539]","[ 1.905  4.309  6.716  9.119 11.514 13.919 16.324 18.729 21.131 23.531
 25.934 28.336]"
Media-103504.wav,"[ 0.05   0.623  1.191  1.758  2.33   2.907  3.487  4.064  4.644  5.239
  5.837  6.435  7.025  7.607  8.178  8.762  9.344  9.938 10.517 11.089
 11.666 12.259 12.85  13.449 14.052 14.663 15.26  15.854 16.453 17.052
 17.635 18.219 18.815 19.413 20.004 20.596 21.188 21.786 22.391 23.
 23.603 24.198 24.788 25.381 25.979 26.58  27.175 27.769 28.372 28.973
 29.564]","[ 0.05   2.33   4.644  7.025  9.344 11.666 14.052 16.453 18.815 21.188
 23.603 25.979 28.372]"
Albums-Cafe_Paradiso-16.wav,"[ 5.42  5.79  6.13  6.48  6.84  7.2   7.55  7.9   8.24  8.59  8.94  9.3
  9.65 10.   10.35 10.7  11.05 11.39 11.73 12.08 12.44 12.79 13.14 13.49
 13.82 14.19 14.54 14.89 15.24 15.59 15.91 16.28 16.63 16.98 17.32 17.68
 18.03 18.38 18.72 19.08 19.42 19.77 20.12 20.47 20.82 21.17 21.52 21.87
 22.22 22.57 22.92 23.27 23.62 23.97 24.32 24.67 25.02 25.37 25.71 26.06
 26.42 26.76 27.12 27.47 27.81 28.16 28.52 28.86 29.21 29.56 29.91]","[ 5.42  6.84  8.24  9.65 11.05 12.44 13.82 15.24 16.63 18.03 19.42 20.82
 22.22 23.62 25.02 26.42 27.81 29.21]"
Media-104807.wav,"[ 0.23  0.7   1.18  1.64  2.08  2.55  3.03  3.49  3.93  4.39  4.85  5.27
  5.74  6.19  6.65  7.11  7.55  8.    8.45  8.91  9.34  9.81 10.27 10.72
 11.17 11.63 12.07 12.52 12.97 13.41 13.86 14.32 14.79 15.23 15.7  16.14
 16.61 17.07 17.52 17.97 18.43 18.91 19.36 19.81 20.27 20.73 21.2  21.67
 22.09 22.54 22.99 23.43 23.89 24.36 24.8  25.26 25.7  26.16 26.62 27.07
 27.51 27.98 28.46 28.89 29.33 29.8 ]","[ 0.7   2.55  4.39  6.19  8.    9.81 11.63 13.41 15.23 17.07 18.91 20.73
 22.54 24.36 26.16 27.98 29.8 ]"
Media-105706.wav,"[ 0.48   0.96   1.44   1.927  2.4    2.87   3.333  3.793  4.247  4.707
  5.177  5.65   6.113  6.583  7.053  7.527  7.98   8.453  8.927  9.413
  9.88  10.343 10.813 11.277 11.75  12.213 12.69  13.157 13.627 14.083
 14.55  15.02  15.493 15.953 16.413 16.88  17.347 17.81  18.267 18.747
 19.23  19.707 20.177 20.643 21.127 21.59  22.063 22.523 22.997 23.46
 23.927 24.393 24.86  25.33  25.797 26.267 26.733 27.203 27.67  28.14
 28.61  29.08  29.55 ]","[ 0.48   2.4    4.247  6.113  7.98   9.88  11.75  13.627 15.493 17.347
 19.23  21.127 22.997 24.86  26.733 28.61 ]"
Media-103702.wav,"[ 2.12  2.6   3.1   3.57  4.08  4.56  5.04  5.53  6.01  6.5   6.98  7.47
  7.95  8.44  8.92  9.4   9.89 10.38 10.86 11.34 11.83 12.31 12.8  13.28
 13.77 14.25 14.73 15.22 15.71 16.19 16.67 17.16 17.64 18.13 18.61 19.09
 19.58 20.07 20.55 21.03 21.52 22.   22.49 22.97 23.46 23.94 24.43 24.91
 25.4  25.88 26.37 26.84 27.34 27.82 28.31 28.79 29.27 29.76]","[ 2.12  4.08  6.01  7.95  9.89 11.83 13.77 15.71 17.64 19.58 21.52 23.46
 25.4  27.34 29.27]"
Media-104717.wav,"[ 0.09   0.378  0.666  0.953  1.242  1.533  1.822  2.111  2.398  2.689
  2.981  3.272  3.558  3.838  4.119  4.403  4.692  4.981  5.266  5.549
  5.833  6.122  6.409  6.694  6.98   7.269  7.557  7.844  8.131  8.418
  8.701  8.985  9.272  9.561  9.849 10.14  10.435 10.732 11.024 11.313
 11.599 11.889 12.183 12.479 12.768 13.052 13.329 13.607 13.883 14.164
 14.448 14.74  15.036 15.334 15.631 15.923 16.212 16.495 16.777 17.06
 17.347 17.637 17.923 18.205 18.486 18.77  19.058 19.346 19.632 19.921
 20.211 20.502 20.789 21.072 21.351 21.632 21.916 22.202 22.489 22.774
 23.058 23.342 23.631 23.922 24.212 24.501 24.788 25.083 25.382 25.688
 25.994 26.305 26.614 26.922 27.223 27.521 27.819 28.12  28.421 28.718
 29.009 29.297 29.586 29.875 30.169]","[ 0.09   1.242  2.398  3.558  4.692  5.833  6.98   8.131  9.272 10.435
 11.599 12.768 13.883 15.036 16.212 17.347 18.486 19.632 20.789 21.916
 23.058 24.212 25.382 26.614 27.819 29.009 30.169]"
